country,countryname,oecdmember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103_1,per103_2,per104,per105,per106,per107,per108,per109,per110,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per203,per204,per301,per302,per303,per304,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416_1,per416_2,per501,per502,per503,per504,per505,per506,per507,per601_1,per601_2,per602_1,per602_2,per603,per604,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per701,per702,per703_1,per703_2,per704,per705,per706,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
155,"Chile",10,19/11/2017,201711,155061,"Chile let's go","",60,"Miguel Juan Sebastián Piñera Echenique",343,5,2019,.799,.614,38.678,0,36.6429909034162,72,155,8,940,"2022-1",479,1.044,0,0,0,0,.418,0,.209,.209,.209,0,0,2.505,.418,8.141999999999999,.209,0,0,0,.209,.418,0,3.34,0,3.549,.209,0,.209,.418,0,0,1.044,0,.209,0,0,0,.418,0,3.132,15.866,0,0,1.253,0,0,1.67,3.132,1.253,4.593,7.724,.209,5.637,0,1.461,0,0,0,0,0,9.603,0,9.603,0,.209,0,0,0,.209,0,4.593,0,.209,0,1.044,.418,5.01,4.175,.209,1.253,12.317,.209,"2022a","8LW8UB"
155,"Chile",10,19/11/2017,201711,155201,"Progressive Party","PRO",20,"Marco Enriquez-Ominami",343,5,2019,.799,.614,3.328,0,5.70992442744853,1,155,1,940,"2022-1",1177,.765,0,0,0,0,0,.255,0,2.634,.595,0,0,.085,2.719,4.928,0,0,0,.085,.51,3.568,0,.425,.17,.68,.085,0,0,.51,0,.9350000000000001,.34,3.738,0,.595,0,0,.425,0,2.124,4.418,.255,0,0,0,0,.85,6.967000000000001,15.718,7.477,14.613,.17,10.365,0,0,0,0,.34,0,.255,3.059,.68,.255,.255,.51,0,1.189,0,0,0,4.333,0,0,0,0,1.954,.85,-31.946,3.993,.9350000000000001,22.09,.255,"2022a","7J78Y7"
155,"Chile",10,19/11/2017,201711,155501,"Christian Democratic Party","PDC",50,"Carolina Goic Boroevic",343,5,2019,.799,.614,10.281,0,5.8752658978104,14,155,1,940,"2022-1",3517,0,.256,0,0,0,.455,.171,.057,1.279,.085,0,0,.057,.881,5.687,0,.028,.085,.142,.171,4.151,0,1.649,.398,.114,0,0,.028,.028,0,.256,.91,4.038,.398,.483,0,.028,.6820000000000001,.256,3.753,11.004,.028,0,0,0,0,5.601,5.914,3.014,6.995,18.055,0,7.478,0,.028,0,0,0,.057,.341,3.952,.114,1.223,.085,.853,0,1.479,0,0,0,.654,0,2.502,0,.142,1.479,2.474,-29.713,4.464,.256,25.05,.227,"2022a","ZX8D4V"
155,"Chile",10,19/11/2017,201711,155980,"Independent","",70,"José Antonio Kast Rist",343,5,2019,.799,.614,,,7.9295878,,155,1,940,"2022-1",1029,.389,0,.097,0,.097,2.041,.194,0,.292,.194,1.263,0,.486,.097,9.815,.097,0,0,.486,.097,.972,0,6.317,.972,1.846,1.263,.777,.583,0,0,1.944,3.11,4.568000000000001,.097,.097,0,.097,0,0,1.944,11.856,.097,0,.583,0,0,1.555,2.624,2.138,3.596,10.982,.583,2.624,0,0,.875,0,0,3.401,0,8.26,.097,1.555,.389,0,0,0,0,0,0,1.944,.972,2.138,0,.194,1.458,1.846,-2.332,4.762,2.527,14.577,.292,"2022a","ZLLPL6"
162,"Uruguay",0,26/10/2014,201410,162210,"Popular Assembly","UP",20,"Gonzalo Abella",341,5,2018,.6950000000000001,.629,1.171,0,1.17138113897187,1,99,1,931,"2022-1",1424,.351,0,.14,1.475,1.053,0,.632,0,.211,.211,.632,0,.5620000000000001,1.826,2.317,0,.14,1.053,.07,.913,.07,0,.983,.492,.632,0,0,0,0,0,0,3.09,5.126,2.037,.983,.281,0,.7020000000000001,0,.843,4.986,1.124,1.475,0,1.756,0,5.899,.772,2.949,4.846,17.065,0,10.112,.772,.07,0,.07,0,0,1.053,.7020000000000001,1.264,.843,.7020000000000001,0,0,0,0,0,0,7.795,0,7.795,.07,0,.421,.632,-43.399,8.287000000000001,0,21.91,.772,"2022a","K3DFBQ"
162,"Uruguay",0,26/10/2014,201410,162310,"Broad Front","FA",30,"Tabaré Vazquez",341,5,2018,.6950000000000001,.629,49.446,0,49.4460255263346,50,99,8,931,"2022-1",4091,2.151,0,0,1.027,.367,.391,.122,.367,1.344,3.275,.049,.293,.098,2.615,3.275,0,0,0,.024,0,2.835,0,3.618,.196,2.224,0,1.247,0,0,.147,.024,2.249,3.764,3.3,2.224,.464,1.613,1.173,.073,1.393,7.578,.269,.098,.782,.293,0,3.691,2.176,2.567,9.069000000000001,11.391,0,6.184,0,.073,0,0,.196,0,.342,.66,1.442,2.151,.636,.098,0,.024,0,0,0,4.107,0,3.715,0,0,1.589,.367,-21.144,7.333,.8070000000000001,20.46,.489,"2022a","EMMTNO"
162,"Uruguay",0,26/10/2014,201410,162410,"Colorado Party","PC",40,"Pedro Bordaberry",341,5,2018,.6950000000000001,.629,13.327,0,13.327256049818,13,99,1,931,"2022-1",3952,.025,.152,.304,.228,0,.9360000000000001,0,.127,1.265,.481,.202,.152,.835,2.227,1.417,0,.076,0,.304,0,.759,0,5.769,.886,.709,0,1.569,0,0,0,1.088,3.391,3.365,.658,.633,.051,4.605,.531,.329,5.39,13.79,.455,.025,2.379,0,0,2.353,3.087,2.556,2.303,9.084,.076,12.854,0,.228,0,0,0,.329,.127,4.276,.5570000000000001,.658,.329,.025,.025,0,0,0,0,3.163,.253,1.442,0,0,.607,.5570000000000001,-8.831,4.479,3.467,11.387,.43,"2022a","FO1T3W"
162,"Uruguay",0,26/10/2014,201410,162510,"Independent Party","PI",50,"Pablo Mieres",341,5,2018,.6950000000000001,.629,3.199,0,3.19903147108626,3,99,1,931,"2022-1",2605,.307,.077,.269,0,0,1.881,0,0,.5760000000000001,1.459,.307,2.764,.192,.154,2.035,0,.269,.038,0,.537,3.877,1.612,13.052,.269,2.956,.192,1.152,0,0,0,.461,1.036,1.344,.384,.154,0,4.837,1.689,.768,3.762,11.248,.384,0,3.148,0,0,1.267,.96,2.265,3.992,9.52,0,4.683,0,.384,0,.614,0,.307,0,3.954,1.574,.5760000000000001,.537,.038,0,0,.038,0,0,2.61,1.075,1.267,0,0,.115,1.036,-.077,2.111,3.608,13.512,.269,"2022a","37S8FG"
162,"Uruguay",0,26/10/2014,201410,162610,"National Party","PN",60,"Luis Alberto Lacalle Pou",341,5,2018,.6950000000000001,.629,31.938,0,31.9384790573497,32,99,1,931,"2022-1",3609,.748,.111,.471,.194,0,1.136,0,.028,1.025,.139,0,.111,.166,1.385,2.383,.028,.055,0,.139,0,1.718,0,6.983000000000001,.887,1.496,.36,1.579,0,0,0,.416,3.103,1.302,.139,1.302,0,3.214,.083,.776,4.239,15.434,.637,0,3.879,0,0,1.884,1.801,3.935,2.937,11.083,0,6.872,0,.804,0,.028,0,0,.083,5.763,.637,.416,.748,.083,0,0,0,0,0,4.129,.499,2.549,.028,0,.249,.499,-3.242,2.078,4.295,14.021,.499,"2022a","ML37BE"
180,"Brazil",0,15/11/1989,198911,180230,"Popular Front Brazil","",20,"Luiz Inácio Lula da Silva",329,5,2018,.788,.621,,,17.18569,,,1,931,"2022-1",3497,.715,.029,0,.343,9.522,0,1.973,.143,.2,.2,.315,0,.086,1.258,4.175,.029,.257,1.287,.2,.4,1.23,0,1.43,2.259,1.63,1.659,0,0,.029,.029,0,0,4.861,.515,.086,.086,.5720000000000001,.172,1.144,.629,4.404,1.945,5.49,.257,2.202,0,2.774,1.287,.858,13.64,10.609,0,4.575,0,.429,0,.801,0,0,0,.6860000000000001,.429,.057,.2,.114,0,.172,0,0,0,7.95,0,3.432,.172,0,.4,.286,-46.84,7.321,.257,24.249,2.116,"2022a","P5G2GS"
